RunDesignationLookUpID,RunDesignation,LookupDate,MinLength1,MaxLength1,MinLength2,MaxLength2,s_ColLineage,s_Generation,s_Lineage
{F5EAE836-6FA4-11D3-9889-00C04FF8FAEB},F,03/04,0,61,0,0,,1,
{F5EAE837-6FA4-11D3-9889-00C04FF8FAEB},F,03/05,0,62,0,0,,1,
{F5EAE838-6FA4-11D3-9889-00C04FF8FAEB},F,03/06,0,62,0,0,,1,
{F5EAE839-6FA4-11D3-9889-00C04FF8FAEB},F,03/07,0,63,0,0,,1,
{F5EAE83A-6FA4-11D3-9889-00C04FF8FAEB},F,03/08,0,63,0,0,,1,
{F5EAE83B-6FA4-11D3-9889-00C04FF8FAEB},F,03/09,0,64,0,0,,1,
{F5EAE83C-6FA4-11D3-9889-00C04FF8FAEB},F,03/10,0,64,0,0,,1,
{F5EAE83D-6FA4-11D3-9889-00C04FF8FAEB},F,03/11,0,64,0,0,,1,
{F5EAE83E-6FA4-11D3-9889-00C04FF8FAEB},F,03/12,0,65,0,0,,1,
{F5EAE83F-6FA4-11D3-9889-00C04FF8FAEB},F,03/13,0,65,0,0,,1,
{F5EAE840-6FA4-11D3-9889-00C04FF8FAEB},F,03/14,0,66,0,0,,1,
{F5EAE841-6FA4-11D3-9889-00C04FF8FAEB},F,03/15,0,66,0,0,,1,
{F5EAE842-6FA4-11D3-9889-00C04FF8FAEB},F,03/16,0,67,0,0,,1,
{F5EAE843-6FA4-11D3-9889-00C04FF8FAEB},F,03/17,0,67,0,0,,1,
{F5EAE844-6FA4-11D3-9889-00C04FF8FAEB},F,03/18,0,67,0,0,,1,
{F5EAE845-6FA4-11D3-9889-00C04FF8FAEB},F,03/19,0,68,0,0,,1,
{F5EAE846-6FA4-11D3-9889-00C04FF8FAEB},F,03/20,0,68,0,0,,1,
{F5EAE847-6FA4-11D3-9889-00C04FF8FAEB},F,03/21,0,69,0,0,,1,
{F5EAE848-6FA4-11D3-9889-00C04FF8FAEB},F,03/22,0,69,0,0,,1,
{F5EAE849-6FA4-11D3-9889-00C04FF8FAEB},F,03/23,0,70,0,0,,1,
{F5EAE84A-6FA4-11D3-9889-00C04FF8FAEB},F,03/24,0,70,0,0,,1,
