Date,SID,Week,CC_diverted_flow_cfs,TC_diverted_flow_cfs
1/1/23,1,1,0,0
1/2/23,2,1,0,0
1/3/23,3,1,0,0
1/4/23,4,1,0,0
1/5/23,5,1,0,0
1/6/23,6,1,0,0
1/7/23,7,1,0,0
1/8/23,8,2,0,0
1/9/23,9,2,0,0
1/10/23,10,2,0,0
1/11/23,11,2,0,0
1/12/23,12,2,0,0
1/13/23,13,2,0,0
1/14/23,14,2,0,0
1/15/23,15,3,0,0
1/16/23,16,3,0,0
1/17/23,17,3,0,0
1/18/23,18,3,0,0
1/19/23,19,3,0,0
1/20/23,20,3,0,0
1/21/23,21,3,0,0
1/22/23,22,4,0,0
1/23/23,23,4,0,0
1/24/23,24,4,0,0
1/25/23,25,4,0,0
1/26/23,26,4,0,0
1/27/23,27,4,0,0
1/28/23,28,4,0,0
1/29/23,29,5,0,0
1/30/23,30,5,0,0
1/31/23,31,5,0,0
2/1/23,32,5,0,0
2/2/23,33,5,0,0
2/3/23,34,5,0,0
2/4/23,35,5,0,0
2/5/23,36,6,0,0
2/6/23,37,6,0,0
2/7/23,38,6,0,0
2/8/23,39,6,0,0
2/9/23,40,6,0,0
2/10/23,41,6,0,51
2/11/23,42,6,0,83
2/12/23,43,7,0,97
2/13/23,44,7,0,87
2/14/23,45,7,0,96
2/15/23,46,7,0,98
2/16/23,47,7,0,98
2/17/23,48,7,0,97
2/18/23,49,7,0,96
2/19/23,50,8,0,96
2/20/23,51,8,0,96
2/21/23,52,8,0,97
2/22/23,53,8,40,232
2/23/23,54,8,0,209
2/24/23,55,8,0,211
2/25/23,56,8,0,109
2/26/23,57,9,0,0
2/27/23,58,9,0,73
2/28/23,59,9,0,116
3/1/23,60,9,0,110
3/2/23,61,9,0,0
3/3/23,62,9,0,0
3/4/23,63,9,0,61
3/5/23,64,10,0,0
3/6/23,65,10,0,0
3/7/23,66,10,0,99
3/8/23,67,10,0,109
3/9/23,68,10,0,7
3/10/23,69,10,0,0
3/11/23,70,10,0,0
3/12/23,71,11,0,0
3/13/23,72,11,0,0
3/14/23,73,11,0,0
3/15/23,74,11,0,0
3/16/23,75,11,0,0
3/17/23,76,11,0,0
3/18/23,77,11,0,0
3/19/23,78,12,0,0
3/20/23,79,12,0,0
3/21/23,80,12,0,0
3/22/23,81,12,0,0
3/23/23,82,12,0,0
3/24/23,83,12,0,0
3/25/23,84,12,0,0
3/26/23,85,13,0,0
3/27/23,86,13,0,0
3/28/23,87,13,0,0
3/29/23,88,13,0,0
3/30/23,89,13,46,61
3/31/23,90,13,0,0
4/1/23,91,13,0,0
4/2/23,92,14,0,0
4/3/23,93,14,0,0
4/4/23,94,14,0,0
4/5/23,95,14,0,73
4/6/23,96,14,0,105
4/7/23,97,14,0,107
4/8/23,98,14,0,36
4/9/23,99,15,0,0
4/10/23,100,15,0,0
4/11/23,101,15,0,219
4/12/23,102,15,0,223
4/13/23,103,15,38,183
4/14/23,104,15,0,219
4/15/23,105,15,0,217
4/16/23,106,16,0,69
4/17/23,107,16,0,0
4/18/23,108,16,0,0
4/19/23,109,16,0,203
4/20/23,110,16,0,200
4/21/23,111,16,33,202
4/22/23,112,16,0,210
4/23/23,113,17,0,211
4/24/23,114,17,0,235
4/25/23,115,17,0,358
4/26/23,116,17,0,366
4/27/23,117,17,0,364
4/28/23,118,17,45,401
4/29/23,119,17,0,473
4/30/23,120,18,0,476
5/1/23,121,18,0,477
5/2/23,122,18,0,476
5/3/23,123,18,0,238
5/4/23,124,18,0,236
5/5/23,125,18,0,235
5/6/23,126,18,0,182
5/7/23,127,19,0,238
5/8/23,128,19,0,300
5/9/23,129,19,0,231
5/10/23,130,19,0,23
5/11/23,131,19,0,219
5/12/23,132,19,47,309
5/13/23,133,19,0,476
5/14/23,134,20,0,476
5/15/23,135,20,0,427
5/16/23,136,20,44,432
5/17/23,137,20,9,581
5/18/23,138,20,46,747
5/19/23,139,20,12,816
5/20/23,140,20,29,801
5/21/23,141,21,29,635
5/22/23,142,21,0,567
5/23/23,143,21,78,158
5/24/23,144,21,37,751
5/25/23,145,21,0,811
5/26/23,146,21,20,942
5/27/23,147,21,20,"1,148"
5/28/23,148,22,20,716
5/29/23,149,22,20,619
5/30/23,150,22,20,464
5/31/23,151,22,22,564
6/1/23,152,22,33,773
6/2/23,153,22,24,717
6/3/23,154,22,24,684
6/4/23,155,23,24,687
6/5/23,156,23,24,684
6/6/23,157,23,32,680
6/7/23,158,23,27,673
6/8/23,159,23,16,682
6/9/23,160,23,24,668
6/10/23,161,23,27,670
6/11/23,162,24,27,670
6/12/23,163,24,27,548
6/13/23,164,24,35,661
6/14/23,165,24,26,670
6/15/23,166,24,31,663
6/16/23,167,24,32,670
6/17/23,168,24,32,773
6/18/23,169,25,32,775
6/19/23,170,25,32,773
6/20/23,171,25,33,771
6/21/23,172,25,27,849
6/22/23,173,25,25,1100
6/23/23,174,25,25,963
6/24/23,175,25,25,893
6/25/23,176,26,25,895
6/26/23,177,26,21,894
6/27/23,178,26,25,897
6/28/23,179,26,33,884
6/29/23,180,26,25,893
6/30/23,181,26,27,893
7/1/23,182,26,27,1004
7/2/23,183,27,27,1128
7/3/23,184,27,27,1029
7/4/23,185,27,32,923
7/5/23,186,27,32,893
7/6/23,187,27,24,1066
7/7/23,188,27,29,1015
7/8/23,189,27,29,911
7/9/23,190,28,29,1001
7/10/23,191,28,29,1007
7/11/23,192,28,32,830
7/12/23,193,28,44,778
7/13/23,194,28,44,880
7/14/23,195,28,29,1019
7/15/23,196,28,29,1061
7/16/23,197,29,29,777
7/17/23,198,29,29,663
7/18/23,199,29,39,727
7/19/23,200,29,49,837
7/20/23,201,29,27,1034
7/21/23,202,29,38,856
7/22/23,203,29,38,864
7/23/23,204,30,38,889
7/24/23,205,30,38,825
7/25/23,206,30,37,554
7/26/23,207,30,42,858
7/27/23,208,30,35,896
7/28/23,209,30,30,781
7/29/23,210,30,30,731
7/30/23,211,31,30,717
7/31/23,212,31,30,786
8/1/23,213,31,30,731
8/2/23,214,31,42,720
8/3/23,215,31,28,735
8/4/23,216,31,31,793
8/5/23,217,31,31,727
8/6/23,218,32,31,672
8/7/23,219,32,31,592
8/8/23,220,32,38,564
8/9/23,221,32,32,717
8/10/23,222,32,27,802
8/11/23,223,32,28,804
8/12/23,224,32,28,806
8/13/23,225,33,28,598
8/14/23,226,33,28,580
8/15/23,227,33,37,568
8/16/23,228,33,31,654
8/17/23,229,33,32,678
8/18/23,230,33,27,609
8/19/23,231,33,27,567
8/20/23,232,34,27,452
8/21/23,233,34,27,441
8/22/23,234,34,13,377
8/23/23,235,34,29,331
8/24/23,236,34,29,566
8/25/23,237,34,22,440
8/26/23,238,34,22,439
8/27/23,239,35,22,438
8/28/23,240,35,22,437
8/29/23,241,35,27,431
8/30/23,242,35,19,459
8/31/23,243,35,38,418
9/1/23,244,35,21,362
9/2/23,245,35,21,323
9/3/23,246,36,21,399
9/4/23,247,36,21,463
9/5/23,248,36,21,449
9/6/23,249,36,39,435
9/7/23,250,36,21,452
9/8/23,251,36,25,450
9/9/23,252,36,25,411
9/10/23,253,37,25,360
9/11/23,254,37,25,358
9/12/23,255,37,19,372
9/13/23,256,37,39,313
9/14/23,257,37,10,339
9/15/23,258,37,25,322
9/16/23,259,37,25,390
9/17/23,260,38,25,438
9/18/23,261,38,25,434
9/19/23,262,38,20,292
9/20/23,263,38,31,192
9/21/23,264,38,23,199
9/22/23,265,38,20,317
9/23/23,266,38,20,321
9/24/23,267,39,20,317
9/25/23,268,39,20,312
9/26/23,269,39,25,305
9/27/23,270,39,16,328
9/28/23,271,39,29,324
9/29/23,272,39,11,260
9/30/23,273,39,11,219
10/1/23,274,40,11,220
10/2/23,275,40,11,120
10/3/23,276,40,11,108
10/4/23,277,40,11,107
10/5/23,278,40,13,105
10/6/23,279,40,12,106
10/7/23,280,40,12,164
10/8/23,281,41,12,206
10/9/23,282,41,12,207
10/10/23,283,41,13,289
10/11/23,284,41,15,321
10/12/23,285,41,16,320
10/13/23,286,41,16,318
10/14/23,287,41,12,201
10/15/23,288,42,12,151
10/16/23,289,42,12,147
10/17/23,290,42,12,172
10/18/23,291,42,15,253
10/19/23,292,42,13,277
10/20/23,293,42,13,277
10/21/23,294,42,13,271
10/22/23,295,43,13,262
10/23/23,296,43,13,258
10/24/23,297,43,5,289
10/25/23,298,43,5,280
10/26/23,299,43,6,176
10/27/23,300,43,0,171
10/28/23,301,43,0,166
10/29/23,302,44,0,161
10/30/23,303,44,0,9
10/31/23,304,44,0,0
11/1/23,305,44,0,0
11/2/23,306,44,0,17
11/3/23,307,44,0,122
11/4/23,308,44,0,54
11/5/23,309,45,0,0
11/6/23,310,45,0,0
11/7/23,311,45,0,193
11/8/23,312,45,15,195
11/9/23,313,45,0,194
11/10/23,314,45,15,98
11/11/23,315,45,0,0
11/12/23,316,46,0,0
11/13/23,317,46,0,0
11/14/23,318,46,0,279
11/15/23,319,46,0,293
11/16/23,320,46,0,287
11/17/23,321,46,44,240
11/18/23,322,46,0,95
11/19/23,323,47,0,0
11/20/23,324,47,0,0
11/21/23,325,47,0,105
11/22/23,326,47,0,113
11/23/23,327,47,0,22
11/24/23,328,47,0,0
11/25/23,329,47,0,0
11/26/23,330,48,0,0
11/27/23,331,48,0,0
11/28/23,332,48,0,0
11/29/23,333,48,0,182
11/30/23,334,48,0,189
12/1/23,335,48,0,190
12/2/23,336,48,0,68
12/3/23,337,49,0,0
12/4/23,338,49,0,0
12/5/23,339,49,0,0
12/6/23,340,49,0,0
12/7/23,341,49,0,0
12/8/23,342,49,0,0
12/9/23,343,49,0,0
12/10/23,344,50,0,0
12/11/23,345,50,0,0
12/12/23,346,50,0,0
12/13/23,347,50,0,0
12/14/23,348,50,0,0
12/15/23,349,50,0,0
12/16/23,350,50,0,0
12/17/23,351,51,0,0
12/18/23,352,51,0,0
12/19/23,353,51,0,0
12/20/23,354,51,0,0
12/21/23,355,51,0,0
12/22/23,356,51,0,0
12/23/23,357,51,0,0
12/24/23,358,52,0,0
12/25/23,359,52,0,0
12/26/23,360,52,0,0
12/27/23,361,52,0,0
12/28/23,362,52,0,0
12/29/23,363,52,0,0
12/30/23,364,52,0,0
12/31/23,365,52,0,0
