SID,Date,h0800,h0900,h1000,h1100,h1200,h1300,h1400,h1500,h1600,h1700,h1800,h1900,h2000,h2100,h2200,h2300,h0000,h0100,h0200,h0300,h0400,h0500,h0600,h0700
32,2/1/23,5216,5239,5216,5216,5216,5194,5171,5171,5171,5171,5171,5148,5171,5148,5171,5148,5148,5148,5148,5126,5148,5148,5148,5126
33,2/2/23,5126,5126,5126,5148,5126,5126,5126,5103,5103,5103,5103,5126,5126,5126,5126,5126,5103,5103,5080,5080,5080,5058,5058,5058
34,2/3/23,5058,5058,5035,5058,5035,5035,5035,5035,5035,5012,5035,5035,5035,5035,5035,5012,5012,5012,4990,4990,4990,4990,5035,5058
35,2/4/23,5058,5058,5058,5058,5080,5058,5035,5058,5035,5035,5035,5035,5058,5058,5080,5058,5080,5103,5103,5103,5126,5126,5126,5126
36,2/5/23,5126,5103,5103,5103,5080,5103,5103,5103,5103,5103,5126,5126,5148,5171,5194,5194,5239,5307,5398,5465,5556,5601,5737,5850
37,2/6/23,6054,6371,6620,6756,6824,6891,7004,7065,7167,7249,7331,7408,7505,7563,7544,7466,7369,7290,7167,7086,7004,6914,6824,6778
38,2/7/23,6688,6575,6529,6416,6371,6303,6235,6190,6122,6077,6077,6032,5986,5964,5964,5964,5964,5964,5918,5896,5850,5828,5782,5760
39,2/8/23,5737,5692,5669,5669,5647,5601,5624,5601,5601,5579,5579,5579,5556,5556,5556,5556,5511,5465,5420,5398,5398,5398,5398,5398
40,2/9/23,5375,5352,5352,5352,5330,5330,5307,5330,5307,5307,5284,5284,5284,5284,5284,5284,5262,5239,5239,5262,5239,5262,5284,5262
41,2/10/23,5262,5262,5239,5216,5239,5239,5216,5216,5216,5216,5216,5216,5216,5216,5216,5216,5216,5194,5216,5194,5194,5194,5171,5148
42,2/11/23,5148,5171,5148,5126,5126,5126,5126,5126,5126,5148,5126,5148,5126,5148,5148,5148,5148,5171,5171,5148,5126,5148,5126,5126
43,2/12/23,5148,5148,5126,5148,5148,5148,5148,5148,5126,5148,5171,5148,5148,5148,5148,5148,5126,5148,5148,5148,5126,5148,5126,5126
44,2/13/23,5103,5103,5080,5103,5080,5080,5080,5058,5058,5035,5035,5058,5058,5035,5035,5035,5035,5035,5035,5012,5012,5012,4990,4990
45,2/14/23,4990,4990,4990,4967,4967,4967,4967,4967,4967,4967,4967,4967,4967,4967,4944,4922,4922,4922,4922,4922,4899,4899,4899,4899
46,2/15/23,4899,4899,4899,4899,4899,4876,4899,4922,4922,4922,4899,4899,4899,4876,4899,4876,4876,4854,4854,4831,4831,4831,4854,4854
47,2/16/23,4831,4854,4854,4854,4831,4831,4831,4831,4831,4831,4831,4831,4831,4831,4808,4808,4808,4808,4786,4808,4786,4786,4786,4786
48,2/17/23,4786,4786,4786,4786,4786,4763,4763,4763,4763,4763,4763,4786,4763,4763,4763,4763,4763,4740,4740,4763,4740,4740,4763,4740
49,2/18/23,4740,4740,4718,4718,4718,4740,4740,4740,4740,4740,4763,4740,4763,4740,4740,4740,4718,4718,4718,4695,4718,4695,4718,4718
50,2/19/23,4718,4695,4718,4695,4718,4695,4695,4695,4695,4695,4695,4695,4695,4695,4695,4695,4695,4672,4672,4672,4672,4672,4672,4695
51,2/20/23,4672,4650,4650,4650,4650,4672,4650,4672,4650,4650,4650,4650,4650,4650,4650,4650,4650,4627,4627,4650,4627,4627,4627,4627
52,2/21/23,4627,4627,4627,4605,4605,4605,4605,4605,4627,4627,4627,4627,4627,4627,4627,4605,4627,4627,4627,4627,4605,4627,4627,4605
53,2/22/23,4627,4605,4627,4627,4627,4627,4627,4627,4605,4627,4605,4605,4627,4627,4627,4627,4627,4627,4627,4627,4627,4627,4627,4627
54,2/23/23,4627,4627,4650,4627,4627,4627,4650,4650,4650,4627,4650,4627,4605,4605,4584,4584,4584,4584,4584,4562,4562,4584,4562,4584
55,2/24/23,4584,4562,4562,4562,4562,4562,4562,4584,4562,4584,4562,4562,4584,4605,4650,4672,4718,NA,4763,4786,NA,NA,4876,4876
56,2/25/23,4922,4944,4967,4990,5012,5012,5012,5058,5126,5171,5216,5262,5284,5330,5352,5398,5420,5465,5488,5511,5533,5533,5533,5556
57,2/26/23,5533,5488,5465,5443,5420,5420,5511,5692,5873,5964,5964,6032,6122,6326,6507,6643,6710,6733,6710,6733,6710,6688,6665,6597
58,2/27/23,6529,6484,6462,6439,6439,6462,6552,6778,7167,7775,8484,9715,11943,14234,15613,16094,16041,15667,15042,14360,13566,12840,12127,11520
59,2/28/23,11058,10631,10352,10202,10221,10221,10221,10202,10352,10743,11446,12530,13548,14288,14648,14612,14378,14000,13584,13131,12657,12182,11760,11336
60,3/1/23,11003,10706,10464,10258,10128,10109,10333,10817,11465,12090,12657,13385,14036,14504,14719,14827,14791,14648,14396,14036,13602,13131,12639,12237
61,3/2/23,11833,11446,11077,10780,10501,10221,9978,9753,9546,9376,9187,9017,8884,8770,8675,8599,8484,8389,8313,8255,8217,8179,8121,8064
62,3/3/23,8006,7929,7871,7814,7717,7640,7602,7544,7486,7447,7350,7331,7269,7208,7167,7106,7065,7024,6982,6959,6959,6959,6982,7004
63,3/4/23,7004,7004,6982,6982,6959,6937,6914,6914,6869,6846,6801,6801,6778,6756,6710,6688,6665,6643,6643,6620,6643,6665,6710,6756
64,3/5/23,6733,6710,6688,6665,6643,6597,6620,6575,6575,6552,6529,6552,6529,6552,6575,6597,6643,6665,6756,6801,6801,6869,6891,6914
65,3/6/23,6869,6846,6869,6914,6982,7086,7229,7310,7331,7331,7310,7249,7208,7147,7065,7004,6982,6982,6982,6982,6959,6937,6869,6846
66,3/7/23,6801,6801,6756,6733,6710,6756,6801,6846,7004,7167,7331,7447,7602,7814,8006,8179,8332,8389,8446,8484,8523,8561,8599,8599
67,3/8/23,8561,8484,8427,8351,8274,8217,8121,8083,8044,8006,7948,7891,7852,7794,7794,7852,7987,8121,8313,8694,9263,9696,9865,9809
68,3/9/23,9753,9771,9828,9978,10202,10538,10761,10854,10854,10687,10464,10165,9940,9677,9489,9319,9206,9093,8998,8903,8808,8713,8599,8484
69,3/10/23,8389,8293,8198,8121,8064,8025,8044,8083,8389,8960,9903,11040,12402,14648,17666,21243,24450,27338,30342,33488,36545,39787,43500,47654
70,3/11/23,51664,55068,57406,58786,58404,55903,51619,46469,41030,36159,32000,28996,27127,25908,25065,24555,24086,23518,22881,22129,21243,20474,20279,19166
71,3/12/23,18330,17789,17103,16643,16218,15827,15471,15149,14881,14612,14324,14108,13891,13729,13566,13457,13367,13367,13258,13240,13240,13222,13258,13312
72,3/13/23,13421,13602,13801,14054,14360,14666,15006,15310,15524,15560,15542,15453,15542,16147,17455,19633,22503,25733,28934,31964,34828,37217,38528,38717
73,3/14/23,37963,36236,33820,31112,28592,26618,25238,24424,23801,23288,22679,22104,21659,21267,21365,22005,22554,22579,22528,22303,22129,21881,21856,21881
74,3/15/23,22154,22906,24634,28007,32432,37739,43257,49028,55161,62096,70287,79278,88578,97312,104711,110291,114217,115123,112900,108390,101168,92053,82082,72263
75,3/16/23,63089,55717,50073,45841,42694,40212,38151,36275,34602,32976,31608,30342,29278,28407,27429,26558,25820,25123,24581,23982,23467,22982,22579,22129
76,3/17/23,21708,21267,20890,20518,20192,19912,19633,19357,19103,18871,18600,18330,18144,17877,17702,17526,17350,17173,17032,16891,16750,16608,16484,16360
77,3/18/23,16200,16023,15898,15703,15613,15471,15346,15221,15113,15006,14917,14845,14719,14576,14486,14360,14306,14180,14090,14018,13928,13855,13765,13729
78,3/19/23,13638,13530,13457,13367,13276,13203,13149,13076,13022,12949,12912,12821,12803,12712,12676,12584,12530,12475,12438,12402,12402,12383,12420,12456
79,3/20/23,12548,12748,13167,13656,14396,15417,16520,17666,18829,19933,20868,21708,22179,22328,22253,21930,21610,21292,21955,24372,28345,32072,34340,34677
80,3/21/23,33525,31501,29309,27519,25879,24477,23313,22253,21463,20868,20236,19740,19208,18683,18226,17842,17578,17191,16926,16697,16449,16236,16058,15881
81,3/22/23,15720,15542,15382,15239,15149,15006,14881,14755,14648,14558,14432,14324,14252,14144,14054,13964,13891,13819,13729,13693,13656,13638,13620,13638
82,3/23/23,13620,13584,13548,13457,13439,13349,13312,13258,13185,13149,13113,13113,13113,13113,13131,13167,13222,13367,13620,13928,14216,14486,14666,14755
83,3/24/23,14791,14791,14791,14791,14719,14540,14342,14126,13910,13783,13620,13548,13385,13258,13131,12985,12876,12785,12748,12730,12730,12730,12676,12621
84,3/25/23,12511,12365,12237,12090,11998,11907,11833,11723,11631,11594,11539,11446,11391,11336,11262,11169,11077,11003,10966,10910,10836,10780,10761,10687
85,3/26/23,10613,10557,10501,10464,10389,10370,10333,10296,10258,10221,10184,10165,10109,10090,10034,9978,9922,9903,9847,9809,9753,9715,9696,9659
86,3/27/23,9640,9565,9527,9489,9433,9395,9357,9357,9301,9282,9244,9225,9187,9130,9112,9074,9055,9036,8998,8960,8941,8903,8865,8846
87,3/28/23,8846,8808,8789,8789,8751,8732,8713,8713,8694,8694,8656,8637,8637,8618,8618,8580,8561,8523,8504,8465,8484,8484,8523,8637
88,3/29/23,8865,9338,10071,11040,12145,13765,16555,20192,24060,26917,28222,27976,26410,24320,22253,20474,19145,18185,17578,17209,16944,16697,16520,16413
89,3/30/23,16325,16236,16129,16076,16165,16395,16838,17367,17807,18185,18725,19293,19933,20605,20956,20736,20171,19463,18704,18041,17490,16997,16608,16254
90,3/31/23,15898,15613,15310,15060,14827,14612,14396,14180,14036,13837,13711,13566,13385,13258,13094,13003,12876,12821,12767,12748,12748,12803,12785,12712
91,4/1/23,12676,12603,12530,12456,12365,12292,12200,12090,11980,11870,11778,11668,11557,11483,11373,11262,11188,11095,11040,10966,10873,10817,10761,10724
92,4/2/23,10687,10668,10613,10575,10538,10501,10501,10445,10389,10352,10333,10333,10296,10277,10277,10240,10202,10184,10184,10240,10314,10370,10426,10464
93,4/3/23,10482,10464,10464,10464,10408,10370,10314,10296,10314,10258,10277,10202,10146,10109,10071,10015,10015,9959,9922,9922,9922,9903,9884,9847
94,4/4/23,9809,9771,9734,9734,9677,9659,9640,9602,9583,9546,9508,9433,9357,9282,9225,9149,9093,9036,8960,8884,8846,8808,8770,8732
95,4/5/23,8713,8675,8675,8656,8618,8599,8580,8580,8561,8542,8504,8504,8465,8427,8408,8370,8313,8313,8274,8274,8236,8236,8217,8179
96,4/6/23,8159,8140,8140,8102,8102,8102,8083,8083,8064,8044,8025,8006,8006,7968,7968,7948,7929,7910,7910,7891,7852,7852,7814,7794
97,4/7/23,7775,7794,7794,7794,7775,7775,7794,7756,7756,7737,7756,7794,7833,7891,7891,7929,7948,7987,8044,8102,8217,8293,8446,8637
98,4/8/23,8998,9470,10165,10910,11668,12273,12657,12785,12821,12821,12803,12840,12858,12912,12912,12803,12676,12475,12365,12456,12821,13185,13385,13349
99,4/9/23,13185,13003,12840,12712,12566,12420,12273,12109,11943,11815,11704,11576,11446,11373,11243,11151,11021,10928,10836,10761,10668,10557,10501,10426
100,4/10/23,10370,10296,10296,10258,10221,10202,10184,10165,10109,10071,10034,9996,9978,9922,9884,9828,9790,9734,9696,9659,9583,9583,9565,9546
101,4/11/23,9565,9602,9621,9659,9734,9771,9809,9847,9847,9865,9828,9809,9790,9809,9753,9734,9696,9659,9602,9583,9602,9640,9696,9790
102,4/12/23,9903,9996,10128,10240,10333,10370,10389,10389,10408,10426,10426,10408,10389,10352,10389,10464,10575,10631,10538,10370,10240,10184,10165,10184
103,4/13/23,10202,10240,10296,10277,10296,10296,10277,10240,10258,10333,10408,10352,10240,10053,9940,9865,9790,9771,9734,9659,9602,9565,9527,9508
104,4/14/23,9470,9452,9414,9414,9376,9376,9357,9319,9263,9225,9206,9187,9149,9093,9036,9036,9017,8998,8960,8960,8922,8903,8884,8865
105,4/15/23,8846,8827,8808,8808,8808,8789,8770,8751,8713,8656,8637,8561,8504,8408,8351,8351,8389,8389,8389,8351,8332,8313,8293,8274
106,4/16/23,8274,8274,8274,8274,8274,8274,8255,8274,8255,8274,8236,8236,8217,8198,8159,8140,8121,8102,8083,8064,8044,8025,8025,8025
107,4/17/23,8025,8025,8044,8083,8102,8140,8159,8159,8159,8159,8140,8121,8121,8102,8083,8083,8044,8025,8006,7987,7968,7968,7968,7929
108,4/18/23,7948,7968,8006,8044,8083,8083,8064,8083,8083,8044,7968,7871,7794,7814,7833,7833,7794,7833,7871,7871,7871,7871,7871,7891
109,4/19/23,7891,7871,7910,7910,7929,7891,7891,7871,7852,7756,7679,7621,7602,7602,7602,7602,7621,7621,7621,7621,7621,7602,7582,7582
110,4/20/23,7544,7544,7544,7524,7505,7505,7486,7466,7447,7408,7389,7369,7350,7331,7350,7350,7350,7311,7292,7253,7253,7214,7214,7195
111,4/21/23,7175,7156,7156,7156,7136,7136,7136,7117,7117,7097,7097,7117,7117,7136,7117,7097,7078,7058,7039,7019,7000,7000,6978,6957
112,4/22/23,6957,6957,6957,6957,7000,7019,7039,7097,7311,7602,7891,8083,8159,8274,8370,8370,8351,8370,8293,8198,8140,8121,8140,8159
113,4/23/23,8179,8236,8255,8293,8351,8389,8389,8446,8427,8446,8465,8446,8446,8465,8427,8446,8446,8465,8484,8504,8523,8542,8580,8599
114,4/24/23,8637,8713,8770,8846,8865,8922,8941,8903,8865,8846,8808,8789,8770,8751,8732,8694,8656,8656,8618,8618,8599,8637,8637,8675
115,4/25/23,8732,8808,8846,8903,8922,8998,9263,10221,11336,11998,12273,12365,12420,12420,12383,12347,12328,12328,12328,12273,12273,12273,12292,12273
116,4/26/23,12310,12292,12292,12292,12255,12292,12273,12255,12273,12273,12219,12182,12164,12145,12127,12109,12072,12054,12035,12035,12017,12035,12035,12054
117,4/27/23,12127,12164,12182,12200,12200,12237,12255,12237,12219,12182,12164,12164,12145,12127,12127,12109,12090,12090,12090,12072,12054,12072,12072,12109
118,4/28/23,12127,12219,12310,12365,12420,12475,12475,12475,12475,12456,12438,12420,12420,12402,12383,12347,12328,12328,12310,12328,12328,12347,12383,12420
119,4/29/23,12456,12530,12621,12657,12730,12785,12821,12840,12876,12931,13022,13022,12931,12858,12767,12748,12712,12694,12694,12712,12730,12748,12803,12840
120,4/30/23,12912,13003,13076,13113,13131,13185,13258,13330,13367,13330,13312,13312,13312,13294,13258,13240,13203,13167,13167,13185,13203,13222,13258,13349
121,5/1/23,13475,13584,13747,13837,13891,13891,13910,13891,13855,13819,13819,13729,13711,13638,13566,13620,13747,13946,14090,14162,14180,14162,14162,14198
122,5/2/23,14234,14252,14270,14288,14306,14360,14378,14396,14324,14270,14234,14216,14180,14126,14090,14036,14018,14018,13982,14000,13982,14000,13982,13982
123,5/3/23,13982,13964,14000,13982,14018,14018,14036,14054,14072,14054,14018,13964,13946,13910,13873,13855,13855,13855,13837,13837,13783,13765,13729,13729
124,5/4/23,13729,13729,13693,13638,13620,13638,13656,13638,13638,13584,13548,13475,13494,13439,13403,13349,13294,13258,13276,13294,13312,13349,13367,13367
125,5/5/23,13349,13349,13349,13312,13349,13457,13964,14648,15149,15382,15506,15560,15578,15613,15596,15542,15542,15578,15613,15649,15703,15720,15720,15738
126,5/6/23,15738,15774,15756,15703,15738,15756,15774,15827,15845,15845,15845,15827,15881,15916,15969,15987,16023,16058,16129,16254,16360,16537,16679,16909
127,5/7/23,17120,17385,17702,17947,18330,18454,18641,18850,19061,19251,19420,19505,19484,19357,19145,18934,18683,18433,18288,18103,17947,17842,17719,17631
128,5/8/23,17561,17508,17438,17402,17367,17314,17244,17173,17156,17103,17068,17050,17015,16944,16926,16873,16838,16838,16856,16856,16873,16856,16803,16767
129,5/9/23,16767,16785,16750,16750,16803,16750,16750,16750,16732,16732,16732,16785,16873,16962,16962,16997,17050,17103,17085,17068,17068,17015,16926,16891
130,5/10/23,16856,16838,16820,16785,16785,16732,16714,16679,16626,16573,16520,16431,16378,16360,16325,16254,16165,16129,16112,16112,16112,16112,16112,16112
131,5/11/23,16094,16076,16076,16094,16076,16058,16023,15952,15916,15898,15881,15863,15792,15720,15667,15613,15613,15720,15667,15685,15649,15685,15667,15703
132,5/12/23,15738,15774,15774,15809,15827,15809,15738,15649,15631,15613,15613,15578,15542,15542,15560,15649,15738,15809,15827,15863,15881,15916,15881,15809
133,5/13/23,15613,15506,15435,15417,15435,15471,15489,15489,15524,15506,15506,15471,15453,15417,15417,15399,15399,15399,15399,15417,15471,15471,15506,15524
134,5/14/23,15578,15631,15685,15720,15774,15756,15792,15792,15756,15667,15596,15524,15489,15524,15524,15560,15560,15542,15596,15578,15613,15631,15649,15703
135,5/15/23,15774,15809,15827,15863,15898,15916,15916,15898,15898,15863,15809,15774,15685,15667,15596,15613,15578,15667,15774,15863,15916,15934,15987,15969
136,5/16/23,15952,15916,15952,15987,16023,16023,16023,16023,15969,15916,15863,15809,15792,15756,15756,15738,15738,15703,15703,15738,15738,15756,15792,15827
137,5/17/23,15863,15881,15916,15952,15969,15969,15969,16005,15987,15952,15952,15952,15916,15898,15881,15863,15827,15827,15792,15792,15792,15809,15845,15863
138,5/18/23,15863,15898,15881,15916,15934,15916,15916,15934,15916,15898,15845,15863,15845,15827,15792,15756,15756,15809,15845,15863,15881,15916,15934,15916
139,5/19/23,15881,15863,15898,15898,15952,15969,15952,15934,15916,15969,16023,15987,15916,15916,15845,15827,15774,15774,15774,15792,15792,15845,15881,15934
140,5/20/23,15987,16041,16129,16165,16165,16147,16094,16058,15987,15898,15809,15774,15685,15631,15578,15613,15667,15756,15774,15845,15845,15827,15863,15881
141,5/21/23,15881,15916,15952,15969,15969,15969,15934,15952,15916,15916,15898,15845,15827,15792,15774,15756,15738,15738,15756,15738,15738,15774,15827,15827
142,5/22/23,15863,15898,15934,15952,15987,15969,15934,15934,15934,15881,15863,15809,15809,15792,15756,15703,15720,15703,15703,15685,15685,15703,15703,15738
143,5/23/23,15738,15792,15809,15827,15863,15898,15916,15916,15898,15863,15845,15774,15774,15720,15685,15649,15649,15667,15667,15685,15685,15685,15667,15596
144,5/24/23,15453,15346,15167,14934,14719,14522,14342,14180,14090,14018,13982,13928,13910,13891,13855,13855,13837,13801,13801,13801,13783,13801,13801,13819
145,5/25/23,13837,13873,13891,13891,13910,13910,13873,13855,13855,13819,13801,13783,13783,13747,13711,13711,13675,13656,13638,13638,13638,13620,13602,13602
146,5/26/23,13620,13638,13638,13656,13675,13656,13656,NA,13656,13620,13584,13584,13566,13530,13530,13548,13548,13548,13530,13530,13512,13494,13494,13494
147,5/27/23,13494,13512,13512,13494,13512,13512,13530,13512,13530,13548,13548,13512,13475,13457,13439,13403,13367,13385,13385,13385,13385,13367,13367,13385
148,5/28/23,13421,13439,13439,13439,13439,13439,13457,13421,13421,13385,13367,13349,13367,13367,13421,13475,13494,13457,13403,13385,13330,13330,13367,13403
149,5/29/23,13439,13457,13475,13475,13475,13494,13494,13512,13494,13512,13475,13421,13403,13367,13367,13330,13312,13276,13276,13276,13312,13312,13330,13312
150,5/30/23,13240,13113,12949,12803,12730,12676,12657,12694,12639,12639,12603,12584,12566,12548,12511,12493,12493,12475,12438,12438,12456,12438,12456,12456
151,5/31/23,12475,12475,12511,12493,12475,12475,12493,12493,12475,12456,12456,12456,12420,12420,12402,12402,12402,12365,12383,12365,12383,12383,12383,12402
152,6/1/23,12420,12456,12456,12475,12475,12493,12475,12493,12475,12438,12420,12402,12383,12402,12383,12383,12347,12347,12328,12310,12310,12310,12328,12328
153,6/2/23,12347,12365,12383,12402,12402,12402,12383,12383,12347,12347,12347,12328,12310,12273,12255,12219,12200,12200,12182,12164,12164,12164,12145,12145
154,6/3/23,12127,12145,12164,12200,12219,12273,12273,12273,12255,12273,12255,12255,12219,12237,12237,12219,12200,12219,12182,12145,12145,12164,12164,12182
155,6/4/23,12200,12219,12219,12219,12237,12255,12219,12200,12182,12127,12072,12035,12035,12017,12017,11980,11998,11980,11962,11980,11962,11962,11980,11998
156,6/5/23,11998,12035,12035,12072,12035,12054,12072,12054,12054,12017,12017,11980,11980,11962,11962,11943,11925,11925,11925,11925,11962,11980,11980,12017
157,6/6/23,12017,12017,12017,12017,12035,12017,12017,12017,12017,11998,12017,11962,11980,11980,11998,12035,11998,12017,12072,12072,12054,12035,12035,11998
158,6/7/23,11888,11741,11557,11410,11280,11225,11169,11132,11132,11132,11132,11151,11132,11132,11114,11095,11095,11095,11095,11114,11095,11077,11077,11095
159,6/8/23,11114,11132,11169,11206,11262,11262,11243,11243,11225,11225,11206,11169,11169,11225,11188,11151,11114,11095,11095,11077,11077,11077,11077,11095
160,6/9/23,11114,11058,11077,11077,11058,11040,11058,11040,11003,10984,10984,10966,10947,10947,10947,10947,10984,11058,11114,11132,11077,11058,11040,11058
161,6/10/23,11040,11021,11003,11003,11021,11021,11003,11021,11040,11021,11021,11003,10947,10873,10836,10836,10854,10891,10891,10891,10873,10873,10854,10854
162,6/11/23,10873,10910,10891,10891,10891,10891,10873,10854,10854,10836,10836,10836,10836,10854,10817,10817,10799,10799,10780,10817,10854,10891,10910,10910
163,6/12/23,10910,10910,10910,10891,10891,10891,10873,10854,10873,10854,10817,10817,10836,10891,10910,10873,10836,10799,10761,10780,10780,10780,10780,10799
164,6/13/23,10817,10836,10873,10891,10873,10873,10873,10891,11003,11114,11114,11058,10984,10984,11021,11003,10966,10836,10799,10761,10724,10724,10743,10761
165,6/14/23,10780,10799,10817,10817,10854,10854,10854,10873,10910,10910,10910,10836,10743,10687,10743,10873,10966,10947,10817,10724,10650,10631,10631,10631
166,6/15/23,10631,10650,10650,10650,10650,10613,10594,10594,10631,10780,10891,10947,10910,10799,10743,10706,10668,10668,10668,10668,10706,10743,10761,10724
167,6/16/23,10687,10650,10613,10631,10557,10538,10501,10501,10538,10613,10650,10650,10613,10575,10557,10557,10520,10464,10445,10445,10464,10464,10464,10464
168,6/17/23,10482,10482,10482,10501,10464,10445,10464,10445,10464,10426,10426,10408,10408,10408,10389,10389,10408,10426,10482,10575,10594,10613,10631,10631
169,6/18/23,10668,10668,10687,10706,10706,10668,10687,10668,10631,10650,10650,10631,10631,10613,10613,10613,10613,10594,10594,10613,10594,10594,10575,10594
170,6/19/23,10613,10613,10594,10613,10594,10613,10613,10613,10724,10817,10854,10836,10836,10854,10817,10724,10650,10631,10594,10575,10575,10538,10538,10538
171,6/20/23,10538,10538,10557,10575,10557,10557,10538,10557,10575,10706,10780,10817,10799,10799,10761,10761,10687,10613,10575,10538,10520,10501,10501,10520
172,6/21/23,10501,10482,10501,10482,10482,10482,10520,10501,10501,10482,10482,10426,10408,10408,10370,10370,10370,10370,10370,10352,10333,10333,10333,10296
