SID,Date,h0800,h0900,h1000,h1100,h1200,h1300,h1400,h1500,h1600,h1700,h1800,h1900,h2000,h2100,h2200,h2300,h0000,h0100,h0200,h0300,h0400,h0500,h0600,h0700
1,1/1/23,24660,23801,23135,22428,21634,20824,20019,19166,18371,17737,17244,17068,16997,16679,16112,15435,14827,14252,13765,13349,12931,12566,12219,11888
2,1/2/23,11631,11410,11243,11077,10873,10668,10501,10277,10071,9903,9734,9583,9452,9319,9168,9017,8903,8770,8656,8542,8427,8332,8236,8121
3,1/3/23,8044,7948,7852,7794,7698,7640,7582,7524,7505,7447,7427,7408,7447,7505,7563,7621,7679,7756,7814,7814,7814,7794,7775,7698
4,1/4/23,7621,7563,7505,7427,7369,7290,7229,7167,7127,7065,7004,6937,6891,6891,6869,6846,6869,6891,6891,6891,6891,6914,6959,7004
5,1/5/23,7004,7004,7004,6982,6937,6937,6937,6937,7004,7024,7127,7310,7871,8846,9677,10613,11925,13711,15703,17649,19633,21146,22554,24268
6,1/6/23,26947,29561,31643,32576,32251,30796,28685,26558,24844,23904,23441,23059,22579,21831,20956,20127,19399,18767,18371,18226,18165,18144,17982,17684
7,1/7/23,17244,16803,16342,15952,15667,15578,15560,15560,15524,15489,15453,15292,15131,14899,14684,14450,14198,13928,13656,13367,13149,12985,12858,12767
8,1/8/23,12712,12621,12621,12712,12931,13312,13873,14558,15167,15720,16200,16555,16873,17191,17561,18041,18579,19335,20605,22353,23775,24950,27187,31359
9,1/9/23,36506,41226,45053,47483,48682,48424,47229,45301,43096,40991,38566,36198,33931,31572,29372,27580,26055,24765,23878,23339,23084,23160,23878,25267
10,1/10/23,27671,30866,35281,39942,44806,49986,54240,57595,59894,61063,60623,58451,55022,50865,46511,42614,39289,36429,33894,31786,29941,28561,27732,27338
11,1/11/23,27157,26797,27067,27702,28872,30005,31395,32359,32866,32976,32504,32072,31750,31643,31608,31395,31112,30412,29561,28530,27611,26737,25967,25267
12,1/12/23,24686,24112,23621,23186,22831,22654,22780,23364,24503,26321,28530,30796,32976,35092,37032,38869,40445,42175,43946,45883,47782,49549,51575,53238
13,1/13/23,55114,56652,57406,56934,55997,53646,50777,47611,44436,41581,39060,36921,34752,33049,31465,30100,28872,27885,26917,25996,25209,24503,23853,23288
14,1/14/23,22755,22203,21831,21487,21414,21708,22228,22679,23646,25499,28376,31750,34865,37069,38038,37926,37552,36958,36545,36198,36121,36044,35738,35205
15,1/15/23,34602,34266,34941,35967,36313,36313,37403,40174,44232,48812,52876,55764,57406,57737,57311,56183,54607,52830,50909,48639,46469,44354,42374,40562
16,1/16/23,38983,37403,36006,34640,33231,32144,31077,30100,29341,28623,27976,27277,26827,26677,26917,27368,27429,27067,26767,26797,27067,27217,27067,26469
17,1/17/23,25674,24844,24008,23339,22679,22079,21512,21073,20583,20192,19762,19335,18955,18579,18247,17930,17666,17438,17191,16997,16838,16590,16342,16094
18,1/18/23,15863,15685,15506,15346,15167,14988,14809,14648,14522,14396,14288,14180,14054,13928,13801,13675,13566,13457,13330,13203,13113,12985,12858,12767
19,1/19/23,12657,12548,12420,12310,12237,12127,12035,11962,11870,11796,11723,11760,11852,12072,12310,12511,12803,13276,13873,14504,15131,15649,15881,15756
20,1/20/23,15399,14917,14450,13982,13566,13240,12967,12712,12475,12292,12109,11925,11796,11668,11539,11465,11373,11280,11188,11114,11040,10984,10928,10854
21,1/21/23,10780,10687,10613,10520,10464,10370,10314,10240,10202,10128,10090,10034,9996,9940,9884,9828,9790,9753,9696,9677,9640,9602,9565,9527
22,1/22/23,9489,9433,9357,9301,9206,9168,9149,9112,9074,9017,9017,8979,8941,8922,8903,8865,8808,8789,8770,8732,8713,8694,8675,8637
23,1/23/23,8618,8561,8523,8446,8446,8408,8351,8351,8293,8255,8217,8179,8198,8159,8121,8102,8064,8064,8025,8006,7987,7968,7929,7910
24,1/24/23,7891,7871,7833,7794,7737,7698,7679,7640,7602,7582,7582,7563,7524,7505,7486,7466,7447,7427,7427,7408,7369,7369,7331,7310
25,1/25/23,7290,7249,7208,7167,7127,7106,7086,7086,7065,7045,7045,7004,6982,6959,6914,6914,6891,6869,6846,6846,6801,6801,6756,6756
26,1/26/23,6733,6710,6665,6643,6620,6575,6575,6529,6484,6439,6394,6348,6326,6326,6303,6280,6280,6258,6258,6235,6235,6213,6190,6167
27,1/27/23,6167,6167,6122,6077,6054,6032,6009,6009,6009,6009,6009,5986,5964,5964,5964,5964,5941,5941,5918,5896,5896,5850,5850,5805
28,1/28/23,5805,5782,5760,5737,5760,5760,5737,5737,5715,5715,5715,5715,5715,5715,5715,5692,5692,5692,5692,5692,5692,5669,5669,5669
29,1/29/23,5647,5647,5647,5624,5624,5624,5601,5601,5624,5601,5601,5601,5601,5601,5579,5579,5556,5556,5556,5556,5556,5533,5556,5556
30,1/30/23,5556,5533,5556,5533,5533,5533,5511,5488,5488,5488,5488,5465,5465,5443,5443,5420,5420,5420,5398,5398,5398,5398,5398,5398
31,1/31/23,5398,5375,5375,5352,5352,5352,5307,5307,5307,5307,5307,5307,5284,5284,5284,5262,5262,5239,5239,5239,5216,5239,5239,5239
